AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Zero
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Analyst Expectations,Expected LTG,-0.0276995850300044,-3.90493727812348
Price Momentum,5 Day Price Reversal,-0.0307766737272188,-1.83313804645533
Analyst Expectations,Analyst Earnings Estimate Diffusion,0.0449642507115188,3.30787200574379
Earnings Quality,Cash Conversion Cycle,-0.0504078929988603,-9.17622716021849
Price Momentum,Price Momentum,0.0544806651698558,3.40219214593815
Price Momentum,1M Price Reversal,-0.0574713717153096,-3.56653600525837
Price Momentum,1M Price High - 1M Price Low,-0.0611730869785196,-4.14789232795524
Historical Growth,1Y Chg in Sales Turnover,-0.0661013199147486,-7.02604585024534
Capital Efficiency,Long Term Debt to Equity Ratio,0.0872557977958935,26.0740091710382
Analyst Expectations,Number of EPS FY1 Revisions,0.107212234645934,6.37684149815971

Correlation (Factors)
,Analyst Expectations,Price Momentum,Analyst Expectations,Earnings Quality,Price Momentum,Price Momentum,Price Momentum,Historical Growth,Capital Efficiency,Analyst Expectations
Date,Expected LTG,5 Day Price Reversal,Analyst Earnings Estimate Diffusion,Cash Conversion Cycle,Price Momentum,1M Price Reversal,1M Price High - 1M Price Low,1Y Chg in Sales Turnover,Long Term Debt to Equity Ratio,Number of EPS FY1 Revisions
2013-04-30,0.0106731972973221,0.0464933647355549,0.0077328490710304,-0.0957712263019873,0.0549701040601085,0.00848694969688859,-0.0156927469935178,-0.116423090270356,0.115201036034154,0.0646404016284895
2013-05-31,0.00852977512796964,0.00671019377660286,0.0614971850295767,-0.0725169899363227,0.0479255984347282,0.0241156873118162,-0.0274475113771567,-0.105078775931297,0.082176716176817,0.0615143221023791
2013-06-30,0.00590816652442563,0.0305177749057518,0.00934829278952764,-0.0729203681288691,0.0355330574494376,-0.0548312218145389,-0.0115908972324483,-0.106230792748594,0.0835662931592306,0.0587205484041526
2013-07-31,0.0274737221828646,-0.0542846312660207,0.056185837950125,-0.0696140636105606,0.00203363934026281,0.0115585447633338,-0.0791186364116546,-0.103072796228194,0.0697434151063915,0.0487756564627624
2013-08-31,0.0076366417253807,-0.02064052657159,0.0818629588273149,-0.0571956201029726,-0.0158119859737414,-0.0683621335106703,0.0212867093520402,-0.0960578007756467,0.110083530496568,0.0840812621834711
2013-09-30,0.00340573023849781,-0.0444820856751845,0.00560159945610191,-0.056607624377337,-0.033050723320868,-0.00842075591466497,-0.106763442569631,-0.0956656503457193,0.110693475124223,0.0731318889482667
2013-10-31,-0.0333864738153973,-0.0900975156509261,0.045642838424627,-0.065095825736237,-0.0957332891139873,-0.136076673953783,-0.132641097288717,-0.09880546744546,0.0958397248425853,0.0400933202196765
2013-11-30,-0.037062432899799,0.0689130627868857,0.0715873408354966,-0.0596513354669561,0.0112270008582645,-0.0219186373608851,-0.0752487962890013,-0.114923324830674,0.107061441840917,0.082655804000093
2013-12-31,-0.0462569030475596,0.0539981120899707,0.0774258915617439,-0.057359145684326,0.0763106659712338,0.0532195738070965,0.0166004006995137,-0.11192226168268,0.107919083979438,0.0950557781837437
2014-01-31,-0.0429172676818717,-0.0556443337909924,0.0500816672417425,-0.0572041447518677,0.0534939295375743,0.0466320611726418,0.0219048814114911,-0.127718639616821,0.104087209593257,0.0604524037770897
