AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: S&P 500
Factor Code: SUEC
Factor Name: Standardized Unexpected Earnings
Tab Name: Negative
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Valuation,Dividends to Price Ratio,-0.136491287533134,-18.7242561836229
Valuation,Book to Price,-0.121723159857622,-17.7381648382113
Valuation,EBITDA to Enterprise Value,-0.0887041115687793,-10.3005330960502
Price Momentum,1M Price Reversal,-0.0809399808307729,-6.78297574432155
Earnings Quality,Cash Conversion Cycle,-0.0781489572932234,-11.7336267555116
Price Momentum,1M Price High - 1M Price Low,-0.0705695701166258,-5.96717165332653
Size,Log Market Cap,-0.068799630047221,-10.8596474051647
Volatility,1M Realized Price Volatility,-0.0598583199153308,-5.87469135121019
Volatility,12M Realized Price Volatility,-0.0425974888638898,-4.26600843606396
Price Momentum,5 Day Price Reversal,-0.0383585590620607,-3.09976087722191

Correlation (Factors)
,Valuation,Valuation,Valuation,Price Momentum,Earnings Quality,Price Momentum,Size,Volatility,Volatility,Price Momentum
Date,Dividends to Price Ratio,Book to Price,EBITDA to Enterprise Value,1M Price Reversal,Cash Conversion Cycle,1M Price High - 1M Price Low,Log Market Cap,1M Realized Price Volatility,12M Realized Price Volatility,5 Day Price Reversal
2006-05-31,-0.0477474670707581,-0.0990833921386626,-0.0244054699369613,-0.130636221072008,-0.113215922326533,-0.0295252096042916,-0.0891478179517262,0.015846294497941,-0.0347479987535784,-0.00166256153949861
2006-06-30,-0.0391881421964048,-0.110643984047284,-0.0347974400574392,-0.059447202486957,-0.0909299081073567,-0.0776367090729111,-0.0859981334599848,0.0485691379118951,-0.0159168987392895,-0.10744757620409
2006-07-31,0.00112665983870131,-0.115791671418484,-0.0684571778500223,-0.240255255357106,-0.0322457946983163,-0.230803895112814,-0.140466750072804,-0.0281317841213384,-0.0367220703894133,-0.190007214374069
2006-08-31,0.020258271715238,-0.110728929031215,-0.0587170075866188,-0.0701100512257588,-0.030129975310641,-0.0454753987688212,-0.085723017512914,-0.123473439088332,-0.0533615258945051,0.106897523714613
2006-09-30,0.0224018670731625,-0.1169189639861,-0.0642812231230957,-0.0008528544148984,-0.0287221657376575,-0.0357691867107126,-0.0714169833113854,-0.107560950151061,-0.0693864009032093,-0.0210825911357939
2006-10-31,-0.119271377517518,-0.140156175940019,-0.0994875287857529,-0.171813554597582,-0.0504139466745892,-0.109629108189453,-0.0727460915859053,-0.0125273208412196,-0.0139408393700059,-0.0187414054690434
2006-11-30,-0.131811205281667,-0.10405697320191,-0.0672895550675007,-0.142661866714086,-0.067622387876499,-0.0441216024315198,-0.0789518606761393,0.059374846716305,0.00422351546770174,0.0657547543808634
2006-12-31,-0.0774735056733109,-0.0991022435940698,-0.0721399309177166,0.00128135829857072,-0.043562439967049,0.0180622396114585,-0.108871859831577,-0.0300793849233922,-0.0284234398425085,0.105788339734253
2007-01-31,-0.131038205237057,-0.120579433590616,-0.108773664045409,-0.157905848414041,-0.0269402573374798,-0.136415972068849,-0.0745021028696889,-0.0148243379333026,-0.00993348997569031,-0.0852259087623392
2007-02-28,-0.09265325175318,-0.0514332526835285,-0.100757910323695,-0.134487730435147,-0.0297542204037925,-0.126865046602862,-0.055605952464397,-0.0262493778185928,-0.0480978151752679,0.0196143614340768
